Genotype,Behavior,Treatment,class,Mouse,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N_pS6_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N
Control,C/S,Saline,c-CS-s,3477,0.46461474,0.66231304,0.37947644,2.217319993,4.41249795,0.292713568,0.199278334,4.163798484,0.238256741,1.730318258,0.727617443,0.375266525,0.402085747,0.32462608,0.805982726,0.931746366,1.609808102,2.562351701,0.540619765,0.696229197,0.471406491,0.392670157,0.207522357,1.24815483,2.477583159,1.308481675,0.2743293,0.306157551,0.749056913,0.185857216,0.433371958,2.248974906,0.387873384,0.520353171,0.443660817,0.82863169,0.690709382,0.453881808,0.62238074,0.432902716,0.400738202,0.500630662,0.494765494,0.162300538,0.771841398,0.164439787,2.151489859,0.291236454,0.341727152,1.773297491,0.303944175,0.16125988,0.183911247,0.115017105,0.151052231,0.152530376,0.172645221,0.122071875,0.183400641,0.112129945,0.410182517,0.30599235,1.437865689,1.887424085,0.137043611,1.093115644,0.719574037,0.222806795,,0.115716019,0.10936267,0.396953405,0.18781466,0.153238174,,1.347836149
Control,C/S,Saline,c-CS-s,3478,0.362683824,0.565781797,0.350977797,2.41493898,4.38391413,0.237580545,0.179696616,2.959123658,0.188526294,1.342560961,0.427783903,0.311607697,0.373151472,0.277881233,0.845169828,0.58667843,1.646441074,2.122905028,0.494871349,0.663506418,0.331617647,0.356614136,0.179595588,1.25628584,3.029554477,1.388273046,0.257809629,0.301293461,0.755688448,0.165012863,0.382292882,2.219085429,0.323006243,0.467428437,0.376102941,0.731510072,0.587132353,0.393096949,0.600058343,0.405348098,0.326527081,0.423489221,0.37206402,0.170129667,0.896091006,0.167138409,2.086628078,0.319896167,0.424407115,1.940132163,0.298155637,0.150862727,0.197029849,0.116388064,0.158947214,0.159350102,0.197547258,0.121621622,0.191688799,0.103030776,0.496365968,0.321504917,1.522930569,2.083586775,0.143645627,1.14298419,0.895750988,0.219453022,0.149564819,0.12984675,0.127930933,0.488428227,0.204993129,0.169739103,0.19393172,1.763146644
Control,C/S,Saline,c-CS-s,3479,0.479742522,0.633661492,0.343633656,2.4363974,3.873813041,0.177459465,0.131279573,2.717531238,0.196818685,1.455831791,0.559811069,0.193574057,0.404257436,0.209604349,0.81736795,0.562174237,1.541920127,2.271779598,0.368871439,0.503976644,0.382563173,0.332733813,0.166071429,,2.789808917,1.321891686,0.213127957,0.240148109,0.679963499,0.162881608,0.387617595,2.034037748,0.316847395,0.446349728,0.383261635,0.685665168,0.571382481,0.368770764,0.56254959,0.340867064,0.320212938,0.41490563,0.686293071,0.156617172,0.699821322,0.161666937,2.467143141,0.291420118,0.388560158,1.473329308,0.149692277,0.14701211,0.177384982,0.115554877,0.155196189,0.162596784,0.154832347,0.121290741,0.246678744,0.138523925,0.492110454,0.312198068,1.273595868,2.118571509,0.143688363,0.996823506,0.867163427,0.236763964,,,0.119548407,0.437839655,0.138385668,,0.18287037,1.499770221
Control,C/S,Saline,c-CS-s,3480,0.29067136,0.462613293,0.299093656,2.247674126,3.910736736,0.148613291,0.124790747,2.899545602,0.159039477,0.921749479,0.445562397,0.213192721,0.32612522,0.172868997,0.800981873,0.761892616,1.473942598,2.135755455,0.318134822,0.418303122,0.238670695,0.296198389,0.141941162,0.790281974,2.552097947,1.191853156,0.18352251,0.195923832,0.632678751,0.131598793,0.364722152,2.050981873,0.280337362,0.434760132,0.352276108,0.662260826,0.50863493,0.348169876,0.501084045,0.336309144,0.273880597,0.368619562,0.297341943,0.17860902,0.775564732,0.151338297,1.829854369,0.2760373405,0.307561682,1.652298622,0.125408334,0.146137153,0.180989583,0.115438216,0.147428109,0.15597952,0.140140016,0.114236111,0.23822803,0.116803442,0.484418403,0.294174757,1.515656123,2.071965239,0.143613651,1.018921519,0.831221146,0.21367945,0.129382236,0.112818289,0.1261745815,0.410246196,0.105707196,0.15022178,0.137736141,1.716630536
Control,C/S,Saline,c-CS-s,3484,2.017503896,2.003237022,0.382448148,2.713343724,5.243735763,0.20977558,0.17798120550000002,2.756666667,0.217360029,3.989405533,2.570054371,0.29579288,0.353818559,0.272509291,0.896486826,0.612124779,1.765370138,2.115200955,0.483931725,0.748711186,1.823711596,0.401387512,0.190568655,1.439155977,3.420573073,2.177077089,0.283217753,0.332507433,0.82517775,0.171798428,0.407988289,2.79234844,0.334985134,0.426447668,0.320585062,0.70072316,0.551333068,0.403805939,0.560016729,0.371151179,0.31752196,0.415058147,0.307996643,0.180321771,1.001580954,0.186055218,1.543677391,0.319979789,0.343160048,1.090300381,0.12681329,0.179041456,0.201519214,0.105150414,0.139360873,0.164477973,0.297569153,0.130297103,0.224360795,0.125596631,0.400391171,0.264295742,1.169115583,2.060833979,0.136150568,0.892594197,1.057182967,0.20351731,0.148702688,0.129468275,0.113066965,0.469460227,,0.164097408,,1.9707905
Control,C/S,Saline,c-CS-s,3497,0.510466989,0.678288823,0.340028558,2.576029446,5.221933729,0.20747189,0.171362852,2.261329653,0.186797243,1.758115183,0.764713155,0.310436635,0.319006166,0.244287269,0.962272832,0.647803083,1.745919881,1.48056443,0.412673056,0.739490603,0.417301415,0.375399361,0.184178375,1.410591222,3.21884273,1.268051434,0.245919478,0.270766773,0.65677547,0.173739572,0.403619197,2.363254204,0.32972973,0.49618204,0.381032376,0.841070024,0.622426682,0.488329399,0.635982166,0.528924669,0.392864865,0.535011802,0.22367546,0.216133652,0.978294323,0.160362841,0.669309762,0.27261683,0.359520531,1.207259874,0.085155131,0.177533004,0.177059153,0.108684313,0.132825788,0.142669943,0.170679771,0.13071851,0.223212116,0.127075403,0.366385872,0.241460542,1.402769904,1.790762827,0.140811456,0.948350216,0.682351988,0.193767114,0.131691909,0.133460621,0.136470398,0.412496239,0.116705355,0.162549607,0.155341378,1.27793715
Control,C/S,Saline,c-CS-s,50810A,0.305080514,0.542472749,0.304625356,2.345084945,3.8068579,0.194019608,0.156628941,2.369991262,0.19754902,1.002564876,0.54,0.295392157,0.334388807,0.233578792,0.838849062,0.819901961,1.64754902,2.09967593,0.430998156,0.63254902,0.237923417,0.30695294,0.149544376,1.32386823,2.80919179,1.21892489,0.227254902,0.27799276,0.692133949,0.138431373,0.336862745,2.157156863,0.268683099,0.398008449,0.343438437,0.696666667,0.465104969,0.328488658,0.47017673,0.32517788,0.256638503,0.349700481,0.200211225,0.229970942,1.196266739,0.199114432,1.96706794,0.371454269,0.48685609,1.015582724,0.095018777,0.175969536,0.206600903,0.121627231,0.164037637,0.221253632,0.160419471,0.12463686,0.287595923,0.174553757,0.539091032,0.303192209,2.193302892,2.443821779,0.142889699,1.198701474,0.968935935,0.224851252,0.152313255,0.133046826,0.135548785,0.526376302,0.13557854,0.17516364,0.183063512,2.024808538
Control,C/S,Saline,c-CS-s,50810D,0.40444979,0.5884546,0.285345146,2.33382552,3.648086625,0.197600702,0.15456121,2.651531931,0.181616833,1.140943798,0.481815033,0.262544803,0.343054017,0.234283914,0.789657246,0.504122062,1.458840901,2.038916023,0.511258767,0.625496091,0.322987238,0.308964865,0.147664098,1.101264238,2.427956195,1.223698782,0.219426712,0.264312884,0.633690169,0.14390681,0.352159468,2.110495878,0.276129678,0.401802478,0.369308335,0.67527966,0.453341242,0.337797385,0.481959981,0.384539344,0.274609016,0.371041437,0.368490679,0.193992095,1.000850209,0.19541502,2.196845851,0.333092311,0.545988561,1.067970781,0.142608696,0.172039116,0.203771027,0.111377338,0.151984321,0.174178517,0.148549851,0.124938756,0.265059289,0.137470356,0.485285313,0.284164859,1.746869686,2.204707962,0.144194566,1.096116566,0.961422925,0.217637439,0.143462698,0.115779307,0.12298971,0.433576823,0.126895288,0.155805977,0.151651652,1.756827707
Control,C/S,Saline,c-CS-s,50810F,0.413499112,0.555649479,0.335251046,2.240142096,3.794308256,0.275579809,0.203103208,3.768140981,0.255885758,1.526875853,0.645533953,0.334515689,0.303410641,0.340319912,0.806674021,0.71682164,1.546248295,1.313506139,0.474076117,0.688086045,0.477937121,0.467311234,0.210089539,0.982901269,2.480135249,1.0676417054999998,0.284583902,0.301886792,0.721570627,0.233868695,0.402931229,2.081081081,0.357001972,0.420615855,0.330570902,0.753628196,0.634208103,0.390053286,0.530695771,0.464142091,0.337286266,0.403939185,0.246001103,0.172089041,0.835616438,0.203419173,0.968837914,0.304879571,0.621739673,0.8264372025,0.103878583,0.191568297,0.178246206,0.108884236,0.137776114,0.131028668,0.150867356,0.140036138,0.188511646,0.107828206,0.391509434,0.239966273,1.208412051,2.077181208,0.160876897,1.167261601,0.655660377,0.189103829,,,0.10455312,0.358853288,,,,1.452389866
Control,S/C,Memantine,c-SC-m,294,0.32083075,0.485576093,0.316701903,2.495654464,3.722555663,0.25451931,0.192276089,5.105073059,0.223288382,1.36807611,0.405814906,0.334945586,0.291242011,0.285332786,0.908454357,0.889455782,1.79123444,1.170924414,0.41440611,0.66994267,0.299154334,0.392389006,0.187551356,1.008011504,2.198644207,1.146006224,0.251298879,0.284921939,0.693446089,0.177153921,0.369556286,2.175340667,0.565247065,0.511503698,0.51839696,0.860811167,0.57189811,0.354545455,0.584018077,0.335661463,0.308217308,0.39557782,0.444741167,0.155746911,1.02434739,0.133845196,1.53499349,0.28954523,0.241596639,0.968240237,0.064633534,0.146484375,0.161458333,0.134607564,0.156913866,0.192143574,0.142843355,0.109115489,0.261171702,0.13867617,0.59707887,0.26783129,1.681497925,2.45508612,0.175729115,1.438629518,0.870475803,0.264195682,,,0.135542169,0.479654948,,0.2371478,0.228868018,1.062830419
Control,S/C,Memantine,c-SC-m,3412,0.273375043,0.42405604,0.30015083,2.272786037,3.4878259,0.262757872,0.199522195,6.048754063,0.221366564,1.220399795,0.397974574,0.395222584,0.305551612,0.298736334,0.877311344,1.180456026,1.714626219,1.204560261,0.50392047,0.6964420465000001,0.261971831,0.371335505,0.2009375,1.057763301,1.946778711,0.966602025,0.2417084615,0.272192663,0.680241327,0.186656672,0.354017305,2.121606949,0.73979156,0.468621064,0.489150863,0.906701142,0.601733478,0.350140056,0.599018577,0.330087135,0.304442037,0.369880823,0.453737811,0.165135098,1.059257236,0.152188042,1.821071881,0.308227635,0.335993062,0.849627233,0.175421753,0.175440566,0.172952956,0.131483088,0.170808301,0.192244675,0.193035776,0.128360798,0.296941435,0.1587319,0.617266345,0.290258885,1.926133261,2.665996986,0.180671347,1.458292306,0.846532564,0.215063419,0.187192791,0.166690111,0.156208864,0.477817214,0.188352792,0.233438486,0.257560838,0.996723102
Control,S/C,Memantine,c-SC-m,3413,0.18980305,0.321797932,0.221028905,1.837851929,3.248826903,0.196059113,0.14707751,4.325908247,0.150980392,0.90412852,0.27525413,0.280827367,0.239675985,0.222045743,0.727841502,0.853333333,1.35088634,0.98875817,0.409223584,0.608724476,0.160130719,0.268746579,0.129411765,0.931895425,1.853594771,0.851633987,0.179215686,0.19928401,0.491527633,0.11483316,0.278264254,1.742614379,0.550834202,0.38573156,0.41028522,0.718774861,0.474409971,0.317820207,0.473475222,0.272236341,0.264736387,0.333260274,0.282478445,0.165395788,1.14778504,0.134026141,1.290486565,0.251997095,0.286310821,1.004477135,0.123910675,0.150601595,0.173182794,0.126815541,0.155330882,0.193173566,0.15168727,0.105568025,0.266249092,0.119099492,0.621506819,0.259847689,1.966010418,2.271423384,0.166171892,1.294480755,0.819716776,0.219734937,0.132204843,0.120503397,0.144448157,0.400277156,0.124737395,0.174343821,0.162894737,0.950074995
Control,S/C,Memantine,c-SC-m,3419,0.256428075,0.402272353,0.280010438,1.86717119,2.834132694,0.246452421,0.191751851,4.263243243,0.213480801,1.185892981,0.361929853,0.349876695,0.279873105,0.310977317,0.691986644,0.862432432,1.311586639,1.065535979,0.454794521,0.596816284,0.278839472,0.356230032,0.211138527,0.893783784,1.812162162,0.918058455,0.230919288,0.263622527,0.578179291,0.1872502,0.314632546,1.685135135,0.736691023,0.411917999,0.422960289,0.772194821,0.567509025,0.341209173,0.560819233,0.321577484,0.312195969,0.379951355,0.432490752,0.155070256,0.865527489,0.154487027,1.871221138,0.251228189,0.337182448,1.040146879,0.323053269,0.179004999,0.185865466,0.124682365,0.152530896,0.177861477,0.250682343,0.119271814,0.183051461,0.094115652,0.599457351,0.275470653,1.439545532,2.242561273,0.169577751,1.419113721,0.803289808,0.201468788,,,0.11342475,0.428293395,0.232626496,0.167089893,,1.081227743
Control,S/C,Memantine,c-SC-m,3420,0.244817518,0.384379263,0.268394346,1.966965889,2.979569892,0.236136281,0.208078995,4.527580071,0.225088968,1.230699529,0.342877854,0.362450163,0.289813167,0.28996013,0.740304458,1.052864831,1.468741543,1.135375136,0.447153285,0.583649635,0.255836265,0.357013411,0.192280072,0.961380184,1.500625391,0.872461703,0.216563972,0.247372236,0.61707388,0.175309679,0.332495512,1.714857651,0.649051095,0.420804639,0.482239942,0.831460674,0.552917724,0.320389761,0.55475763,0.314507663,0.313700616,0.367660142,0.436933672,0.160385476,0.991550267,0.157613382,1.949578386,0.245214692,0.311650318,1.232837147,0.212397245,0.185394219,0.178330741,0.131456954,0.155119715,0.174214876,0.19257739,0.131199509,0.210909091,0.110018969,0.631605952,0.291260475,1.90705294,2.531139576,0.203138472,1.608380755,0.778771384,0.225090346,,,0.125363434,0.489502333,0.20950915,,,1.088864388
Control,S/C,Memantine,c-SC-m,3500,0.280754566,0.471667478,0.280898876,2.114466634,3.715213509,0.216545852,0.180061698,5.516317584,0.187551982,1.237734289,0.372331577,0.348714456,0.289966924,0.28115593,0.804676084,0.936515668,1.521026141,1.257717751,0.41678844,0.597484277,0.220330325,0.337569316,0.186190739,1.030524436,2.028088975,0.95112843,0.213057943,0.252106742,0.619418737,0.143794526,0.393083293,1.962656275,0.573469719,0.447088725,0.48849252,0.813141114,0.606252397,0.373004354,0.595023078,0.346210159,0.335059455,0.44937493,0.367743446,0.158055556,0.913718049,0.149879269,1.758247701,0.292229842,0.353414109,1.372809465,0.145972222,0.178302361,0.182777778,0.125605425,0.14582287,0.188637125,0.173333333,0.116837353,0.269192982,0.149673531,0.576845907,0.275694444,1.737696052,2.459087719,0.169885032,1.378042185,0.815583677,0.197236144,0.180600513,0.169596518,0.14677475,0.487852805,0.189406453,0.235326506,0.237972988,1.033374261
Control,S/C,Memantine,c-SC-m,3503,0.279877261,0.39421022,0.290876474,2.119730853,3.634350107,0.209140436,0.17250202,4.522603274,0.184951177,1.347614564,0.350545596,0.301729163,0.289548023,0.246155818,0.782203225,0.857560405,1.509202454,1.268751237,0.355510296,0.599026993,0.2485304315,0.344869378,0.164653157,0.973070831,1.682762715,0.920498831,0.212942806,0.227191767,0.528003166,0.132894014,0.340802806,1.804740626,0.446028513,0.477396726,0.527686031,0.812784484,0.697669156,0.43538492,0.617583369,0.392242232,0.400623539,0.483341876,0.519795314,0.173803036,0.908236796,0.148518737,1.536693404,0.258602711,0.212019634,1.188229631,0.191540423,0.20842811,0.199209865,0.126666667,0.13643441,0.181072161,0.191667425,0.11748609,0.239434934,0.135266641,0.46429003,0.267768364,1.413293051,2.128821752,0.173426405,1.352676016,0.732980184,0.212205438,0.187407407,0.172752305,0.15419229,0.438854696,0.211756311,,0.237160302,0.752740741
Control,S/C,Memantine,c-SC-m,362,0.342356378,0.510950722,0.284480099,1.966214927,3.008016797,0.210388095,0.168084765,3.632945219,0.175563098,1.234458081,0.355151817,0.279851898,0.268440338,0.234347618,0.728935438,0.599552016,1.338614239,0.95571674,0.392179749,0.653838898,0.271665044,0.333819667,0.161441091,0.907416625,1.978812751,1.073571024,0.210086163,0.245374878,0.533847685,0.143351003,0.411149826,1.710250048,0.55248296,0.496387863,0.524634859,0.8195537,0.599775245,0.389951602,0.5439431564999999,0.319182084,0.312802876,0.438262695,0.405961139,0.134276682,0.906422018,0.119666895,1.269380734,0.233039648,0.244151376,0.727532741,0.090638259,0.126658843,0.163417431,0.123178609,0.144193475,0.17008898,0.166561343,0.098531571,0.206593657,0.099311927,0.577417174,0.259981946,1.222764451,1.949463838,0.169746749,1.138350608,0.823423152,0.256761566,0.154232261,0.133256881,0.130425782,0.376797444,0.129933835,0.190166553,0.181040383,0.970344724
